country_name,country_text_id,country_id,year,COWcode,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem,v2x_freexp_altinf,v2xcl_rol,v2x_jucon,v2xlg_legcon,v2x_cspart,v2x_egal,v2xeg_eqdr,v2x_accountability_osp,v2xnp_regcorr,v2x_neopat,v2xpe_exlsocgr,v2xpe_exlecon,v2x_corr,v2x_pubcorr,v2x_execorr,v2x_gender,v2x_rule,v2xcs_ccsi
Paraguay,PRY,189,2001,150.000000,0.540000,0.391000,0.326000,0.282000,0.196000,0.693000,0.775000,0.589000,0.695000,0.602000,0.230000,0.132000,0.773000,0.901000,0.629000,0.769000,0.721000,0.871000,0.831000,0.913000,0.612000,0.325000,0.815000
Paraguay,PRY,189,2002,150.000000,0.540000,0.391000,0.336000,0.282000,0.194000,0.693000,0.775000,0.589000,0.695000,0.632000,0.226000,0.132000,0.775000,0.901000,0.629000,0.769000,0.721000,0.871000,0.831000,0.913000,0.612000,0.325000,0.819000
Paraguay,PRY,189,2003,150.000000,0.565000,0.409000,0.350000,0.306000,0.216000,0.693000,0.776000,0.589000,0.695000,0.632000,0.253000,0.155000,0.794000,0.853000,0.588000,0.754000,0.714000,0.825000,0.709000,0.844000,0.651000,0.383000,0.819000
Paraguay,PRY,189,2004,150.000000,0.595000,0.428000,0.367000,0.342000,0.227000,0.742000,0.776000,0.589000,0.695000,0.632000,0.250000,0.148000,0.800000,0.808000,0.574000,0.754000,0.713000,0.810000,0.709000,0.778000,0.659000,0.403000,0.819000
Paraguay,PRY,189,2005,150.000000,0.595000,0.427000,0.367000,0.342000,0.229000,0.742000,0.776000,0.589000,0.693000,0.632000,0.253000,0.153000,0.801000,0.808000,0.573000,0.754000,0.713000,0.810000,0.709000,0.778000,0.659000,0.403000,0.819000
Paraguay,PRY,189,2006,150.000000,0.595000,0.433000,0.367000,0.340000,0.240000,0.742000,0.776000,0.615000,0.693000,0.632000,0.279000,0.153000,0.801000,0.808000,0.563000,0.754000,0.698000,0.810000,0.709000,0.778000,0.659000,0.404000,0.819000
Paraguay,PRY,189,2007,150.000000,0.595000,0.446000,0.367000,0.340000,0.243000,0.742000,0.776000,0.692000,0.714000,0.632000,0.282000,0.153000,0.805000,0.803000,0.524000,0.754000,0.696000,0.809000,0.709000,0.778000,0.659000,0.430000,0.819000
Paraguay,PRY,189,2008,150.000000,0.620000,0.493000,0.402000,0.434000,0.289000,0.794000,0.789000,0.781000,0.799000,0.761000,0.352000,0.255000,0.841000,0.747000,0.440000,0.667000,0.627000,0.757000,0.592000,0.687000,0.691000,0.512000,0.863000
Paraguay,PRY,189,2009,150.000000,0.631000,0.502000,0.401000,0.448000,0.297000,0.805000,0.795000,0.781000,0.799000,0.715000,0.361000,0.264000,0.849000,0.747000,0.437000,0.667000,0.625000,0.757000,0.592000,0.687000,0.698000,0.512000,0.875000
Paraguay,PRY,189,2010,150.000000,0.639000,0.509000,0.408000,0.454000,0.299000,0.814000,0.795000,0.781000,0.799000,0.711000,0.359000,0.252000,0.851000,0.747000,0.437000,0.660000,0.596000,0.757000,0.592000,0.687000,0.698000,0.512000,0.875000
Paraguay,PRY,189,2011,150.000000,0.630000,0.503000,0.421000,0.432000,0.296000,0.814000,0.795000,0.781000,0.799000,0.711000,0.359000,0.252000,0.845000,0.747000,0.443000,0.660000,0.596000,0.757000,0.592000,0.687000,0.698000,0.512000,0.859000
Paraguay,PRY,189,2012,150.000000,0.608000,0.480000,0.398000,0.408000,0.260000,0.779000,0.791000,0.781000,0.781000,0.663000,0.306000,0.186000,0.821000,0.795000,0.471000,0.657000,0.611000,0.804000,0.691000,0.775000,0.686000,0.470000,0.803000
Paraguay,PRY,189,2013,150.000000,0.585000,0.407000,0.368000,0.320000,0.229000,0.711000,0.764000,0.607000,0.588000,0.565000,0.265000,0.145000,0.792000,0.831000,0.610000,0.737000,0.671000,0.828000,0.680000,0.783000,0.683000,0.382000,0.758000
Paraguay,PRY,189,2014,150.000000,0.595000,0.414000,0.376000,0.327000,0.234000,0.727000,0.785000,0.607000,0.588000,0.565000,0.265000,0.145000,0.794000,0.824000,0.608000,0.737000,0.671000,0.825000,0.680000,0.776000,0.697000,0.400000,0.774000
Paraguay,PRY,189,2015,150.000000,0.593000,0.416000,0.374000,0.324000,0.236000,0.733000,0.789000,0.596000,0.619000,0.581000,0.274000,0.148000,0.790000,0.854000,0.612000,0.734000,0.658000,0.837000,0.688000,0.829000,0.689000,0.380000,0.775000
Paraguay,PRY,189,2016,150.000000,0.589000,0.414000,0.372000,0.325000,0.234000,0.721000,0.803000,0.567000,0.634000,0.581000,0.271000,0.148000,0.793000,0.854000,0.618000,0.734000,0.658000,0.837000,0.688000,0.829000,0.673000,0.379000,0.780000
Paraguay,PRY,189,2017,150.000000,0.596000,0.418000,0.372000,0.325000,0.244000,0.731000,0.765000,0.581000,0.642000,0.556000,0.287000,0.148000,0.797000,0.838000,0.604000,0.729000,0.650000,0.832000,0.688000,0.806000,0.671000,0.369000,0.780000
Paraguay,PRY,189,2018,150.000000,0.583000,0.417000,0.361000,0.350000,0.237000,0.739000,0.785000,0.606000,0.635000,0.560000,0.283000,0.143000,0.790000,0.777000,0.570000,0.729000,0.646000,0.786000,0.668000,0.747000,0.684000,0.415000,0.780000
Paraguay,PRY,189,2019,150.000000,0.585000,0.420000,0.363000,0.378000,0.242000,0.739000,0.785000,0.608000,0.655000,0.571000,0.289000,0.143000,0.796000,0.777000,0.580000,0.737000,0.663000,0.791000,0.636000,0.729000,0.692000,0.424000,0.780000
Paraguay,PRY,189,2020,150.000000,0.578000,0.420000,0.354000,0.351000,0.242000,0.739000,0.749000,0.618000,0.717000,0.553000,0.301000,0.139000,0.801000,0.755000,0.550000,0.717000,0.658000,0.765000,0.652000,0.730000,0.656000,0.434000,0.780000
Paraguay,PRY,189,2021,150.000000,0.578000,0.427000,0.353000,0.351000,0.248000,0.739000,0.728000,0.729000,0.682000,0.553000,0.313000,0.139000,0.800000,0.761000,0.512000,0.717000,0.640000,0.766000,0.652000,0.730000,0.690000,0.473000,0.780000
Paraguay,PRY,189,2022,150.000000,0.578000,0.430000,0.352000,0.344000,0.242000,0.739000,0.720000,0.759000,0.682000,0.529000,0.300000,0.134000,0.798000,0.762000,0.498000,0.745000,0.646000,0.775000,0.674000,0.730000,0.698000,0.481000,0.780000
Paraguay,PRY,189,2023,150.000000,0.576000,0.420000,0.347000,0.324000,0.240000,0.739000,0.720000,0.727000,0.663000,0.522000,0.297000,0.134000,0.796000,0.762000,0.508000,0.734000,0.646000,0.775000,0.674000,0.730000,0.709000,0.468000,0.780000
Paraguay,PRY,189,2024,150.000000,0.581000,0.390000,0.343000,0.315000,0.252000,0.751000,0.703000,0.721000,0.454000,0.484000,0.318000,0.134000,0.773000,0.781000,0.545000,,,0.801000,0.674000,0.730000,0.694000,0.439000,0.743000
El Salvador,SLV,22,1995,92.000000,0.484000,0.274000,0.297000,0.315000,0.221000,0.710000,0.567000,0.461000,0.402000,0.658000,0.344000,0.234000,0.717000,0.712000,0.617000,0.519000,0.868000,0.719000,0.531000,0.667000,0.602000,0.358000,0.778000
El Salvador,SLV,22,1996,92.000000,0.491000,0.280000,0.304000,0.320000,0.222000,0.710000,0.581000,0.461000,0.402000,0.683000,0.344000,0.234000,0.722000,0.712000,0.615000,0.519000,0.868000,0.719000,0.531000,0.667000,0.604000,0.358000,0.792000
El Salvador,SLV,22,1997,92.000000,0.493000,0.282000,0.304000,0.320000,0.223000,0.714000,0.581000,0.461000,0.402000,0.683000,0.344000,0.234000,0.730000,0.712000,0.614000,0.519000,0.868000,0.719000,0.531000,0.667000,0.639000,0.358000,0.818000
El Salvador,SLV,22,1998,92.000000,0.492000,0.289000,0.304000,0.319000,0.223000,0.714000,0.617000,0.490000,0.402000,0.683000,0.344000,0.234000,0.729000,0.712000,0.599000,0.519000,0.868000,0.719000,0.531000,0.667000,0.671000,0.351000,0.818000
El Salvador,SLV,22,1999,92.000000,0.505000,0.297000,0.311000,0.326000,0.219000,0.724000,0.617000,0.490000,0.402000,0.683000,0.318000,0.234000,0.738000,0.712000,0.604000,0.519000,0.879000,0.719000,0.531000,0.667000,0.665000,0.351000,0.818000
El Salvador,SLV,22,2000,92.000000,0.522000,0.315000,0.321000,0.324000,0.227000,0.769000,0.630000,0.522000,0.402000,0.683000,0.317000,0.234000,0.752000,0.712000,0.582000,0.510000,0.879000,0.719000,0.531000,0.667000,0.630000,0.389000,0.818000
El Salvador,SLV,22,2001,92.000000,0.534000,0.326000,0.327000,0.329000,0.230000,0.769000,0.630000,0.522000,0.442000,0.683000,0.317000,0.234000,0.755000,0.712000,0.581000,0.510000,0.879000,0.719000,0.531000,0.667000,0.630000,0.389000,0.818000
El Salvador,SLV,22,2002,92.000000,0.543000,0.331000,0.333000,0.348000,0.236000,0.769000,0.635000,0.522000,0.442000,0.683000,0.317000,0.234000,0.761000,0.712000,0.581000,0.510000,0.879000,0.719000,0.531000,0.667000,0.633000,0.391000,0.818000
El Salvador,SLV,22,2003,92.000000,0.537000,0.332000,0.331000,0.344000,0.232000,0.767000,0.635000,0.559000,0.442000,0.683000,0.317000,0.234000,0.758000,0.712000,0.567000,0.510000,0.879000,0.719000,0.531000,0.667000,0.640000,0.388000,0.818000
El Salvador,SLV,22,2004,92.000000,0.539000,0.336000,0.331000,0.347000,0.232000,0.770000,0.638000,0.559000,0.442000,0.685000,0.317000,0.234000,0.759000,0.717000,0.566000,0.510000,0.879000,0.753000,0.668000,0.671000,0.640000,0.362000,0.818000
El Salvador,SLV,22,2005,92.000000,0.542000,0.338000,0.332000,0.352000,0.235000,0.774000,0.656000,0.559000,0.440000,0.685000,0.317000,0.234000,0.760000,0.716000,0.568000,0.510000,0.879000,0.745000,0.668000,0.710000,0.650000,0.356000,0.818000
El Salvador,SLV,22,2006,92.000000,0.557000,0.348000,0.342000,0.357000,0.242000,0.776000,0.656000,0.572000,0.440000,0.685000,0.317000,0.234000,0.771000,0.716000,0.562000,0.510000,0.879000,0.745000,0.668000,0.710000,0.689000,0.361000,0.818000
El Salvador,SLV,22,2007,92.000000,0.560000,0.351000,0.344000,0.359000,0.244000,0.776000,0.656000,0.572000,0.440000,0.685000,0.317000,0.234000,0.775000,0.716000,0.563000,0.510000,0.879000,0.745000,0.668000,0.710000,0.689000,0.361000,0.818000
El Salvador,SLV,22,2008,92.000000,0.561000,0.357000,0.343000,0.358000,0.244000,0.773000,0.656000,0.609000,0.440000,0.685000,0.317000,0.234000,0.774000,0.707000,0.543000,0.510000,0.879000,0.740000,0.668000,0.682000,0.689000,0.375000,0.818000
El Salvador,SLV,22,2009,92.000000,0.594000,0.399000,0.370000,0.444000,0.270000,0.827000,0.656000,0.624000,0.586000,0.731000,0.344000,0.246000,0.814000,0.663000,0.496000,0.503000,0.865000,0.719000,0.657000,0.611000,0.704000,0.396000,0.836000
El Salvador,SLV,22,2010,92.000000,0.613000,0.422000,0.382000,0.457000,0.284000,0.856000,0.656000,0.664000,0.623000,0.744000,0.357000,0.262000,0.829000,0.653000,0.466000,0.503000,0.865000,0.693000,0.657000,0.611000,0.710000,0.407000,0.877000
El Salvador,SLV,22,2011,92.000000,0.613000,0.425000,0.383000,0.449000,0.283000,0.856000,0.663000,0.664000,0.623000,0.750000,0.354000,0.268000,0.832000,0.653000,0.466000,0.503000,0.865000,0.693000,0.657000,0.611000,0.710000,0.407000,0.877000
El Salvador,SLV,22,2012,92.000000,0.615000,0.429000,0.386000,0.454000,0.288000,0.845000,0.658000,0.685000,0.623000,0.750000,0.357000,0.280000,0.835000,0.653000,0.457000,0.503000,0.865000,0.693000,0.657000,0.611000,0.738000,0.418000,0.877000
El Salvador,SLV,22,2013,92.000000,0.626000,0.437000,0.392000,0.429000,0.300000,0.841000,0.652000,0.677000,0.658000,0.746000,0.375000,0.280000,0.834000,0.527000,0.413000,0.519000,0.865000,0.623000,0.578000,0.455000,0.763000,0.469000,0.865000
El Salvador,SLV,22,2014,92.000000,0.665000,0.465000,0.412000,0.456000,0.319000,0.841000,0.648000,0.677000,0.658000,0.712000,0.371000,0.280000,0.851000,0.483000,0.398000,0.519000,0.861000,0.608000,0.578000,0.397000,0.754000,0.480000,0.865000
El Salvador,SLV,22,2015,92.000000,0.658000,0.462000,0.407000,0.460000,0.316000,0.841000,0.646000,0.677000,0.658000,0.712000,0.371000,0.280000,0.848000,0.463000,0.401000,0.519000,0.861000,0.605000,0.578000,0.384000,0.763000,0.485000,0.865000
El Salvador,SLV,22,2016,92.000000,0.659000,0.461000,0.405000,0.441000,0.314000,0.848000,0.651000,0.665000,0.677000,0.712000,0.366000,0.268000,0.849000,0.463000,0.400000,0.522000,0.861000,0.611000,0.598000,0.384000,0.763000,0.475000,0.865000
El Salvador,SLV,22,2017,92.000000,0.672000,0.465000,0.416000,0.444000,0.323000,0.867000,0.636000,0.655000,0.675000,0.724000,0.366000,0.268000,0.852000,0.505000,0.416000,0.522000,0.861000,0.629000,0.623000,0.441000,0.776000,0.446000,0.865000
El Salvador,SLV,22,2018,92.000000,0.631000,0.428000,0.398000,0.410000,0.294000,0.793000,0.615000,0.634000,0.658000,0.760000,0.353000,0.273000,0.826000,0.607000,0.453000,0.513000,0.864000,0.685000,0.702000,0.594000,0.746000,0.387000,0.899000
El Salvador,SLV,22,2019,92.000000,0.599000,0.393000,0.355000,0.297000,0.285000,0.720000,0.592000,0.575000,0.656000,0.595000,0.371000,0.276000,0.787000,0.521000,0.439000,0.536000,0.839000,0.596000,0.653000,0.489000,0.753000,0.399000,0.771000
El Salvador,SLV,22,2020,92.000000,0.518000,0.316000,0.303000,0.227000,0.245000,0.581000,0.499000,0.482000,0.618000,0.524000,0.364000,0.266000,0.726000,0.633000,0.543000,0.567000,0.831000,0.668000,0.669000,0.622000,0.715000,0.310000,0.701000
El Salvador,SLV,22,2021,92.000000,0.403000,0.156000,0.233000,0.152000,0.191000,0.424000,0.406000,0.090000,0.278000,0.428000,0.361000,0.247000,0.548000,0.686000,0.829000,0.557000,0.838000,0.713000,0.669000,0.654000,0.657000,0.151000,0.606000
El Salvador,SLV,22,2022,92.000000,0.378000,0.118000,0.222000,0.144000,0.156000,0.404000,0.308000,0.073000,0.113000,0.430000,0.284000,0.242000,0.493000,0.685000,0.863000,0.650000,0.858000,0.748000,0.669000,0.608000,0.565000,0.129000,0.561000
El Salvador,SLV,22,2023,92.000000,0.377000,0.106000,0.221000,0.145000,0.165000,0.419000,0.277000,0.039000,0.097000,0.449000,0.310000,0.242000,0.482000,0.658000,0.889000,0.659000,0.837000,0.698000,0.669000,0.608000,0.532000,0.109000,0.567000
El Salvador,SLV,22,2024,92.000000,0.335000,0.090000,0.199000,0.138000,0.132000,0.392000,0.299000,0.021000,0.052000,0.393000,0.256000,0.170000,0.409000,0.656000,0.926000,,,0.684000,0.611000,0.611000,0.602000,0.090000,0.520000
Uruguay,URY,102,1995,165.000000,0.871000,0.794000,0.740000,0.797000,0.743000,0.927000,0.952000,0.908000,0.923000,0.890000,0.840000,0.860000,0.954000,0.028000,0.057000,0.060000,0.106000,0.041000,0.101000,0.039000,0.817000,0.959000,0.952000
Uruguay,URY,102,1996,165.000000,0.871000,0.796000,0.744000,0.797000,0.743000,0.927000,0.962000,0.908000,0.923000,0.890000,0.840000,0.860000,0.954000,0.028000,0.054000,0.060000,0.106000,0.041000,0.101000,0.039000,0.817000,0.959000,0.952000
Uruguay,URY,102,1997,165.000000,0.871000,0.795000,0.741000,0.797000,0.743000,0.927000,0.962000,0.892000,0.923000,0.890000,0.840000,0.860000,0.952000,0.028000,0.057000,0.060000,0.106000,0.041000,0.101000,0.039000,0.817000,0.956000,0.952000
Uruguay,URY,102,1998,165.000000,0.877000,0.804000,0.745000,0.804000,0.751000,0.939000,0.962000,0.906000,0.923000,0.890000,0.840000,0.860000,0.955000,0.028000,0.051000,0.060000,0.106000,0.041000,0.101000,0.039000,0.817000,0.960000,0.952000
Uruguay,URY,102,1999,165.000000,0.875000,0.802000,0.733000,0.802000,0.749000,0.939000,0.962000,0.906000,0.923000,0.890000,0.840000,0.860000,0.952000,0.028000,0.051000,0.060000,0.106000,0.041000,0.101000,0.039000,0.844000,0.960000,0.952000
Uruguay,URY,102,2000,165.000000,0.873000,0.797000,0.723000,0.805000,0.748000,0.945000,0.962000,0.891000,0.923000,0.890000,0.848000,0.860000,0.954000,0.028000,0.057000,0.054000,0.106000,0.041000,0.101000,0.039000,0.844000,0.955000,0.952000
Uruguay,URY,102,2001,165.000000,0.873000,0.802000,0.716000,0.805000,0.748000,0.945000,0.962000,0.919000,0.923000,0.890000,0.848000,0.860000,0.954000,0.028000,0.051000,0.054000,0.106000,0.041000,0.101000,0.039000,0.844000,0.961000,0.952000
Uruguay,URY,102,2002,165.000000,0.873000,0.802000,0.730000,0.806000,0.748000,0.945000,0.962000,0.919000,0.923000,0.890000,0.848000,0.860000,0.955000,0.028000,0.051000,0.054000,0.106000,0.041000,0.101000,0.039000,0.844000,0.961000,0.952000
Uruguay,URY,102,2003,165.000000,0.873000,0.790000,0.727000,0.807000,0.748000,0.945000,0.962000,0.861000,0.923000,0.890000,0.848000,0.860000,0.954000,0.028000,0.065000,0.054000,0.106000,0.041000,0.101000,0.039000,0.844000,0.949000,0.952000
Uruguay,URY,102,2004,165.000000,0.874000,0.808000,0.740000,0.808000,0.749000,0.945000,0.962000,0.918000,0.938000,0.890000,0.848000,0.860000,0.959000,0.028000,0.045000,0.054000,0.106000,0.041000,0.101000,0.039000,0.844000,0.962000,0.952000
Uruguay,URY,102,2005,165.000000,0.890000,0.819000,0.752000,0.842000,0.778000,0.966000,0.963000,0.940000,0.896000,0.890000,0.866000,0.878000,0.960000,0.028000,0.041000,0.057000,0.080000,0.041000,0.101000,0.039000,0.851000,0.965000,0.952000
Uruguay,URY,102,2006,165.000000,0.892000,0.823000,0.751000,0.844000,0.784000,0.968000,0.963000,0.940000,0.896000,0.890000,0.870000,0.886000,0.960000,0.028000,0.041000,0.054000,0.080000,0.041000,0.101000,0.039000,0.851000,0.965000,0.952000
Uruguay,URY,102,2007,165.000000,0.892000,0.823000,0.747000,0.844000,0.791000,0.968000,0.963000,0.940000,0.896000,0.890000,0.882000,0.921000,0.961000,0.028000,0.041000,0.054000,0.076000,0.041000,0.101000,0.039000,0.851000,0.965000,0.952000
Uruguay,URY,102,2008,165.000000,0.892000,0.822000,0.740000,0.844000,0.792000,0.968000,0.963000,0.941000,0.896000,0.890000,0.883000,0.924000,0.961000,0.028000,0.041000,0.054000,0.076000,0.041000,0.101000,0.039000,0.851000,0.964000,0.952000
Uruguay,URY,102,2009,165.000000,0.894000,0.825000,0.753000,0.846000,0.796000,0.968000,0.963000,0.941000,0.896000,0.890000,0.885000,0.924000,0.966000,0.028000,0.041000,0.053000,0.076000,0.041000,0.101000,0.039000,0.869000,0.964000,0.952000
Uruguay,URY,102,2010,165.000000,0.912000,0.847000,0.770000,0.864000,0.811000,0.975000,0.963000,0.929000,0.918000,0.899000,0.882000,0.905000,0.970000,0.029000,0.041000,0.049000,0.075000,0.041000,0.101000,0.039000,0.882000,0.963000,0.962000
Uruguay,URY,102,2011,165.000000,0.912000,0.847000,0.767000,0.864000,0.811000,0.975000,0.963000,0.929000,0.918000,0.899000,0.880000,0.905000,0.969000,0.029000,0.041000,0.049000,0.075000,0.041000,0.101000,0.039000,0.878000,0.963000,0.962000
Uruguay,URY,102,2012,165.000000,0.912000,0.847000,0.764000,0.864000,0.811000,0.975000,0.963000,0.929000,0.918000,0.899000,0.880000,0.905000,0.970000,0.029000,0.041000,0.049000,0.075000,0.041000,0.101000,0.039000,0.878000,0.963000,0.962000
Uruguay,URY,102,2013,165.000000,0.910000,0.843000,0.777000,0.855000,0.813000,0.972000,0.952000,0.936000,0.918000,0.899000,0.884000,0.905000,0.969000,0.038000,0.045000,0.044000,0.075000,0.049000,0.101000,0.050000,0.876000,0.957000,0.962000
Uruguay,URY,102,2014,165.000000,0.909000,0.843000,0.771000,0.847000,0.811000,0.972000,0.955000,0.936000,0.918000,0.899000,0.884000,0.905000,0.967000,0.038000,0.044000,0.044000,0.075000,0.049000,0.101000,0.050000,0.899000,0.960000,0.962000
Uruguay,URY,102,2015,165.000000,0.897000,0.832000,0.750000,0.827000,0.799000,0.972000,0.955000,0.947000,0.918000,0.875000,0.881000,0.919000,0.965000,0.030000,0.037000,0.042000,0.080000,0.042000,0.101000,0.044000,0.900000,0.965000,0.927000
Uruguay,URY,102,2016,165.000000,0.897000,0.832000,0.746000,0.827000,0.798000,0.972000,0.955000,0.947000,0.918000,0.875000,0.881000,0.911000,0.964000,0.030000,0.037000,0.042000,0.080000,0.042000,0.101000,0.044000,0.895000,0.965000,0.927000
Uruguay,URY,102,2017,165.000000,0.890000,0.828000,0.735000,0.816000,0.786000,0.972000,0.965000,0.947000,0.918000,0.875000,0.875000,0.911000,0.963000,0.030000,0.036000,0.047000,0.083000,0.042000,0.101000,0.044000,0.898000,0.965000,0.902000
Uruguay,URY,102,2018,165.000000,0.896000,0.836000,0.731000,0.831000,0.793000,0.973000,0.965000,0.949000,0.918000,0.876000,0.875000,0.910000,0.965000,0.030000,0.036000,0.046000,0.080000,0.042000,0.101000,0.044000,0.902000,0.967000,0.906000
Uruguay,URY,102,2019,165.000000,0.896000,0.836000,0.733000,0.838000,0.792000,0.970000,0.965000,0.949000,0.918000,0.876000,0.876000,0.912000,0.961000,0.030000,0.036000,0.046000,0.080000,0.042000,0.101000,0.044000,0.902000,0.967000,0.906000
Uruguay,URY,102,2020,165.000000,0.867000,0.808000,0.701000,0.759000,0.756000,0.942000,0.959000,0.962000,0.928000,0.867000,0.862000,0.905000,0.955000,0.045000,0.042000,0.042000,0.075000,0.055000,0.125000,0.076000,0.900000,0.961000,0.906000
Uruguay,URY,102,2021,165.000000,0.852000,0.789000,0.675000,0.735000,0.724000,0.908000,0.945000,0.958000,0.928000,0.825000,0.838000,0.909000,0.948000,0.057000,0.047000,0.040000,0.091000,0.063000,0.125000,0.089000,0.884000,0.948000,0.916000
Uruguay,URY,102,2022,165.000000,0.818000,0.747000,0.652000,0.696000,0.670000,0.868000,0.946000,0.942000,0.910000,0.852000,0.800000,0.884000,0.934000,0.080000,0.070000,0.059000,0.098000,0.080000,0.146000,0.115000,0.890000,0.934000,0.871000
Uruguay,URY,102,2023,165.000000,0.833000,0.756000,0.661000,0.709000,0.697000,0.890000,0.947000,0.940000,0.883000,0.845000,0.825000,0.894000,0.938000,0.059000,0.065000,0.085000,0.106000,0.068000,0.139000,0.095000,0.878000,0.938000,0.855000
Uruguay,URY,102,2024,165.000000,0.846000,0.768000,0.702000,0.716000,0.681000,0.913000,0.928000,0.951000,0.884000,0.845000,0.779000,0.884000,0.936000,0.037000,0.056000,,,0.051000,0.116000,0.048000,0.871000,0.945000,0.855000
Venezuela,VEN,51,1995,101.000000,0.748000,0.604000,0.484000,0.659000,0.514000,0.892000,0.827000,0.684000,0.892000,0.793000,0.638000,0.648000,0.891000,0.593000,0.407000,0.186000,0.327000,0.690000,0.539000,0.465000,0.783000,0.553000,0.890000
Venezuela,VEN,51,1996,101.000000,0.748000,0.604000,0.491000,0.659000,0.514000,0.892000,0.827000,0.684000,0.892000,0.833000,0.638000,0.648000,0.890000,0.593000,0.407000,0.186000,0.327000,0.690000,0.539000,0.465000,0.783000,0.553000,0.890000
Venezuela,VEN,51,1997,101.000000,0.746000,0.603000,0.492000,0.657000,0.516000,0.892000,0.827000,0.684000,0.892000,0.833000,0.638000,0.648000,0.890000,0.619000,0.416000,0.190000,0.326000,0.696000,0.539000,0.490000,0.783000,0.548000,0.890000
Venezuela,VEN,51,1998,101.000000,0.730000,0.575000,0.474000,0.640000,0.496000,0.867000,0.803000,0.646000,0.892000,0.819000,0.628000,0.639000,0.885000,0.619000,0.432000,0.174000,0.282000,0.696000,0.539000,0.490000,0.810000,0.514000,0.872000
Venezuela,VEN,51,1999,101.000000,0.665000,0.440000,0.477000,0.504000,0.474000,0.762000,0.741000,0.576000,0.507000,0.666000,0.678000,0.598000,0.811000,0.660000,0.552000,0.205000,0.209000,0.731000,0.596000,0.555000,0.845000,0.431000,0.738000
Venezuela,VEN,51,2000,101.000000,0.573000,0.310000,0.405000,0.334000,0.402000,0.685000,0.701000,0.329000,0.295000,0.609000,0.652000,0.536000,0.691000,0.887000,0.771000,0.242000,0.238000,0.894000,0.830000,0.859000,0.828000,0.211000,0.604000
Venezuela,VEN,51,2001,101.000000,0.529000,0.288000,0.376000,0.307000,0.372000,0.681000,0.688000,0.329000,0.316000,0.609000,0.652000,0.536000,0.682000,0.887000,0.775000,0.242000,0.238000,0.894000,0.830000,0.859000,0.828000,0.204000,0.604000
Venezuela,VEN,51,2002,101.000000,0.495000,0.255000,0.354000,0.284000,0.348000,0.664000,0.675000,0.329000,0.227000,0.605000,0.644000,0.497000,0.642000,0.904000,0.811000,0.242000,0.238000,0.902000,0.830000,0.885000,0.824000,0.191000,0.466000
Venezuela,VEN,51,2003,101.000000,0.487000,0.243000,0.348000,0.263000,0.343000,0.652000,0.658000,0.313000,0.200000,0.582000,0.644000,0.497000,0.623000,0.904000,0.831000,0.251000,0.238000,0.902000,0.830000,0.885000,0.824000,0.187000,0.467000
Venezuela,VEN,51,2004,101.000000,0.475000,0.216000,0.339000,0.236000,0.336000,0.638000,0.658000,0.156000,0.194000,0.582000,0.644000,0.497000,0.606000,0.914000,0.885000,0.253000,0.238000,0.913000,0.830000,0.885000,0.824000,0.145000,0.467000
Venezuela,VEN,51,2005,101.000000,0.474000,0.182000,0.335000,0.235000,0.335000,0.638000,0.645000,0.050000,0.070000,0.584000,0.644000,0.497000,0.560000,0.914000,0.945000,0.247000,0.244000,0.933000,0.913000,0.889000,0.840000,0.081000,0.467000
Venezuela,VEN,51,2006,101.000000,0.450000,0.168000,0.316000,0.220000,0.314000,0.628000,0.641000,0.044000,0.039000,0.571000,0.626000,0.450000,0.533000,0.914000,0.949000,0.247000,0.254000,0.933000,0.913000,0.889000,0.839000,0.075000,0.467000
Venezuela,VEN,51,2007,101.000000,0.434000,0.162000,0.311000,0.209000,0.305000,0.602000,0.641000,0.044000,0.039000,0.599000,0.626000,0.450000,0.524000,0.949000,0.956000,0.258000,0.254000,0.947000,0.913000,0.941000,0.837000,0.065000,0.465000
Venezuela,VEN,51,2008,101.000000,0.432000,0.159000,0.306000,0.202000,0.303000,0.590000,0.637000,0.044000,0.039000,0.590000,0.623000,0.443000,0.518000,0.938000,0.955000,0.261000,0.267000,0.943000,0.913000,0.925000,0.843000,0.069000,0.451000
Venezuela,VEN,51,2009,101.000000,0.431000,0.160000,0.300000,0.202000,0.303000,0.591000,0.636000,0.044000,0.039000,0.576000,0.621000,0.444000,0.519000,0.948000,0.959000,0.261000,0.267000,0.947000,0.913000,0.942000,0.839000,0.063000,0.451000
Venezuela,VEN,51,2010,101.000000,0.419000,0.154000,0.296000,0.188000,0.286000,0.580000,0.623000,0.046000,0.036000,0.623000,0.594000,0.423000,0.496000,0.954000,0.958000,0.294000,0.291000,0.954000,0.930000,0.953000,0.830000,0.057000,0.427000
Venezuela,VEN,51,2011,101.000000,0.415000,0.152000,0.294000,0.187000,0.281000,0.582000,0.621000,0.046000,0.029000,0.627000,0.581000,0.387000,0.488000,0.957000,0.962000,0.294000,0.296000,0.958000,0.937000,0.953000,0.830000,0.056000,0.427000
Venezuela,VEN,51,2012,101.000000,0.399000,0.145000,0.278000,0.178000,0.268000,0.571000,0.617000,0.046000,0.029000,0.593000,0.573000,0.365000,0.476000,0.957000,0.963000,0.298000,0.305000,0.958000,0.937000,0.953000,0.826000,0.055000,0.429000
